"","nomes","cargo_funcao","fala"
"98","MARCELLUS JOSÉ BARROSO CAMPÊLO","","Senador... "
"99","RENAN CALHEIROS","(Bloco Parlamentar Unidos pelo Brasil/MDB - AL)","E é fundamental que o depoente preste essas informações. "
"100","MARCELLUS JOSÉ BARROSO CAMPÊLO","","Sim. "
"101","RENAN CALHEIROS","(Bloco Parlamentar Unidos pelo Brasil/MDB - AL)","Nós estamos aqui todos para isso. Não há, sinceramente, outro objetivo na sua presença e na sua fala senão o objetivo que coloquei aqui inicialmente, de nós iluminarmos esses compartimentos todos. "
"102","FERNANDO BEZERRA COELHO","(Bloco Parlamentar Unidos pelo Brasil/MDB - PE)","Sr. Relator... "
"103","MARCELLUS JOSÉ BARROSO CAMPÊLO","","O senhor me permite um... "
"104","RENAN CALHEIROS","(Bloco Parlamentar Unidos pelo Brasil/MDB - AL)","Só V. Sa. pode fazê-lo. "
"105","FERNANDO BEZERRA COELHO","(Bloco Parlamentar Unidos pelo Brasil/MDB - PE)","Sr. Relator, antes do depoente, eu queria fazer uma breve intervenção que tem a ver com os recursos, porque houve uma afirmação de que teriam faltado recursos. Eu estou com o seguinte dado aqui: em dezembro de 2019, havia um saldo de R$306 milhões na conta do Governo do Estado do Amazonas. Em agosto de 2020... "
"106","ROGÉRIO CARVALHO","(Bloco Parlamentar da Resistência Democrática/PT - SE)","Ele falou em 400, viu, Fernando Bezerra? "
"107","FERNANDO BEZERRA COELHO","(Bloco Parlamentar Unidos pelo Brasil/MDB - PE)","Não, eu vou chegar lá. Eu vou chegar lá. "
"108","MARCELLUS JOSÉ BARROSO CAMPÊLO","","Não, 2020. "
"109","FERNANDO BEZERRA COELHO","(Bloco Parlamentar Unidos pelo Brasil/MDB - PE)","Eu estou em 2019. Em agosto de 2020, havia um saldo de 459 milhões. Em dezembro, conforme o Secretário acabou de citar, havia um saldo de 478 milhões. E em março, Sr. Relator – e aí eu chamo a atenção –, em março de 2021, o saldo era de 553 milhões. Eu acho que fica claro que nunca faltou dinheiro ao Estado do Amazonas para tomar as providências necessárias para o enfrentamento da pandemia, seja... "
"110","EDUARDO BRAGA","(Bloco Parlamentar Unidos pelo Brasil/MDB - AM)","E o saldo só cresceu. "
"111","OTTO ALENCAR","(PSD - BA)","Sr. Presidente... "
"112","FERNANDO BEZERRA COELHO","(Bloco Parlamentar Unidos pelo Brasil/MDB - PE)","O saldo só cresceu, não faltou dinheiro. O saldo não é decrescente. Havia recursos disponibilizados na conta do Governo do Estado, e eu gostaria que o Secretário pudesse explicar, porque não houve falta de recursos. "
"113","OTTO ALENCAR","(PSD - BA)","Sr. Presidente... "
"114","FERNANDO BEZERRA COELHO","(Bloco Parlamentar Unidos pelo Brasil/MDB - PE)","Houve certamente falta de providências. "
"115","ROGÉRIO CARVALHO","(Bloco Parlamentar da Resistência Democrática/PT - SE)","Tem uma sequência de inscrições. "
"116","PRESIDENTE","(Randolfe Rodrigues. Bloco Parlamentar Senado Independente/REDE - AP)","Senador Fernando Bezerra... "
"117","ROGÉRIO CARVALHO","(Bloco Parlamentar da Resistência Democrática/PT - SE)","Tem uma sequência de inscrições, por favor. "
"118","PRESIDENTE","(Randolfe Rodrigues. Bloco Parlamentar Senado Independente/REDE - AP)","Vou pedir aos colegas a atenção... (Intervenção fora do microfone.) "
"119","PRESIDENTE","(Randolfe Rodrigues. Bloco Parlamentar Senado Independente/REDE - AP)","Vou pedir aos colegas a atenção: há vários Srs. Senadores e Sras. Senadoras inscritos, então, para nós organizarmos a dinâmica... "
"120","HUMBERTO COSTA","(Bloco Parlamentar da Resistência Democrática/PT - PE)","Relator, não fique aceitando essas interrupções. Termine seu trabalho... "
"121","PRESIDENTE","(Randolfe Rodrigues. Bloco Parlamentar Senado Independente/REDE - AP)","... dos trabalhos da CPI, eu queria pedir ao Sr. Relator para proceder à dinâmica das perguntas... "
"122","OTTO ALENCAR","(PSD - BA)","Sr. Presidente... "
"123","PRESIDENTE","(Randolfe Rodrigues. Bloco Parlamentar Senado Independente/REDE - AP)","... termos as respostas do Sr. Marcellus Campêlo, e em seguida, pela ordem de inscrição, nós daremos sequência. Senador Otto, é uma questão de ordem? "
"124","OTTO ALENCAR","(PSD - BA)","Eu vou atender ao que V. Exa. disse. Vou esperar minha hora, então, para não atrapalhar o Relator. "
"125","RENAN CALHEIROS","(Bloco Parlamentar Unidos pelo Brasil/MDB - AL)","Não, da minha parte, não atrapalha em nada. "
"126","OTTO ALENCAR","(PSD - BA)","Eu só queria dar uma contribuição... "
"127","RENAN CALHEIROS","(Bloco Parlamentar Unidos pelo Brasil/MDB - AL)","Por favor! "
"128","PRESIDENTE","(Randolfe Rodrigues. Bloco Parlamentar Senado Independente/REDE - AP)","Por favor, Senador Otto. "
"129","OTTO ALENCAR","(PSD - BA)","... ao que o Senador Eduardo Braga falou. O que ele deve ter perguntado, o Senador Eduardo Braga, é que a estrutura do Estado do Amazonas, no que tange à capacidade instalada de hospital, teve leitos que poderiam ser utilizados e não foram instalados, ou seja, existia uma capacidade instalada que dava suprimento ao atendimento, e isso não foi feito. É mais ou menos isso que o Senador Eduardo Braga perguntou. "
"130","RENAN CALHEIROS","(Bloco Parlamentar Unidos pelo Brasil/MDB - AL)","E eu queria, Presidente... "
"131","OTTO ALENCAR","(PSD - BA. Para interpelar.)","Agora, ele me falou uma coisa que realmente eu tinha lido e é um índice que eu considero bem significativo para ser analisado: do orçamento do Estado do Amazonas de 2020 – e repetiu em 2021 com um pouquinho de aumento da parte do Governo –, 2,6 bilhões foram destinados à saúde pública no Estado e 2,2 bilhões foram de recursos próprios do Estado. Então, a contribuição do Governo Federal no Estado do Amazonas é pequena, é muito pequena. A maior parte vem da receita própria do Estado: 2,2 bilhões. Contribuição do Governo Federal: quatrocentos e poucos milhões de reais. Mais ou menos 82% vêm da fonte 00, da receita própria, e o resto é contribuição federal, não é assim?         "
"132","MARCELLUS JOSÉ BARROSO CAMPÊLO","(Para depor.)","Isso, é isso, 82%. No ano passado, 2020, fechou com 82% de recursos estaduais e 18% de recursos federais. Eu queria só complementar, se me permitisse, Presidente... "
"133","PRESIDENTE","(Randolfe Rodrigues. Bloco Parlamentar Senado Independente/REDE - AP)","Perfeito. Eu vou assim... Eu vou passar para o Relator... "
"134","MARCELLUS JOSÉ BARROSO CAMPÊLO","","Sim, senhor. "
"135","PRESIDENTE","(Randolfe Rodrigues. Bloco Parlamentar Senado Independente/REDE - AP)","... prosseguir nas indagações. Se o senhor quiser, a partir das perguntas do Relator, retomar o fio da meada, a partir das intervenções que os Srs. Senadores tiveram, a Presidência facultará ao senhor. Está bom? Sr. Relator, prossiga. "
"136","RENAN CALHEIROS","(Bloco Parlamentar Unidos pelo Brasil/MDB - AL)","Eu agradeço, Presidente. Eu queria, mais uma vez, enfatizar aqui que qualquer pergunta pertinente ao que está sendo colocado pelo Relator eu acho que tem muito sentido, sim. Isso tudo é somando esforços em favor do que possa haver de melhor no depoimento do Sr. Marcellus. O Governo Estadual procurou se articular com o Ministério de Saúde e com as prefeituras, principalmente a de Manaus, para enfrentar esse problema? "
"137","MARCELLUS JOSÉ BARROSO CAMPÊLO","","Sim, quando eu cheguei à secretaria, eu procurei imediatamente conversar com os órgãos de controle, especialmente o Ministério Público Estadual, pra entender quais eram os problemas da rede como um todo. E foi me relatada a grande dificuldade de organização da rede nos serviços de competência do Estado do Amazonas, que são serviços de média e alta complexidade, com a atenção primária no Município de Manaus. Existia, inclusive, uma ação civil pública, uma decisão judicial de 2018 que obriga o Estado do Amazonas e a Prefeitura de Manaus a trabalharem a reorganização da rede. Quando eu soube dessa decisão judicial, que dava dois anos e, inclusive, venceu em março de 2020, eu fiz ofícios à Prefeitura de Manaus para que nós iniciássemos esse processo de organização da rede, mas tive dificuldade de obter resposta da prefeitura para esse trabalho. A organização da rede da atenção primária na cidade de Manaus era de fundamental importância para esse primeiro atendimento à população nos primeiros sintomas principalmente. "
"138","RENAN CALHEIROS","(Bloco Parlamentar Unidos pelo Brasil/MDB - AL)","Então, não houve parceria com a prefeitura da capital? É isso o que o senhor está dizendo? "
"139","MARCELLUS JOSÉ BARROSO CAMPÊLO","","É, apesar dos nossos esforços de buscar essa parceria. "
"140","RENAN CALHEIROS","(Bloco Parlamentar Unidos pelo Brasil/MDB - AL)","Quando o Ministério da Saúde foi chamado a auxiliar na solução dos problemas eventualmente detectados? "
"141","MARCELLUS JOSÉ BARROSO CAMPÊLO","","Ao longo da execução do plano, a partir de setembro, na solicitação e entrega de respiradores e outros equipamentos, mais ostensivamente quando eu mandei o ofício solicitando a presença da Força Nacional de Saúde e a presença mais ostensiva do Ministério da Saúde para apoiar naquele momento em que estavam num crescimento exponencial de casos e internações na rede. "
"142","RENAN CALHEIROS","(Bloco Parlamentar Unidos pelo Brasil/MDB - AL)","Houve tempestividade... (Intervenção fora do microfone.) "
"143","MARCELLUS JOSÉ BARROSO CAMPÊLO","","Trinta e um de dezembro. "
"144","RENAN CALHEIROS","(Bloco Parlamentar Unidos pelo Brasil/MDB - AL)","Houve tempestividade em atender essa solicitação, por favor? "
"145","MARCELLUS JOSÉ BARROSO CAMPÊLO","","Nós fizemos um plano, uma reunião on-line com o ministério nessa data, era uma data de final de ano. A Prefeitura de Manaus estava em transição, a secretaria estava sendo feita. E nós... Na segunda-feira, veio a Dra. Mayra Pinheiro pra entender as situações da cidade de Manaus, da rede e assim buscar subsídios para o Ministério da Saúde. "
"146","FERNANDO BEZERRA COELHO","(Bloco Parlamentar Unidos pelo Brasil/MDB - PE. Para interpelar.)","Sr. Relator, eu queria contribuir. O Secretário disse que recebeu respiradores do Governo Federal. Houve tentativas do Governo do Estado de comprar diretamente respiradores? Ela foi exitosa ou não foi? Quantos respiradores do Governo Federal o Governo do Estado do Amazonas recebeu? "
"147","MARCELLUS JOSÉ BARROSO CAMPÊLO","(Para depor.)","Não, eu tenho o registro... Não era da minha época, eu não era Secretário, mas tenho o registro da entrega de respiradores pelo Ministério da Saúde, na primeira alça epidêmica, pelo então Ministro Mandetta.         Inclusive, respiradores que vieram, em alguma parte deles, com problemas e foram devolvidos – e alguns, inclusive, respiradores inadequados, segundo os relatórios, inclusive, do Denasus, que eram para uso veterinário. Então, foi feita a devolução. A partir daí, o Ministério da Saúde tem a requisição da indústria nacional... "
"148","FERNANDO BEZERRA COELHO","(Bloco Parlamentar Unidos pelo Brasil/MDB - PE)","Os respiradores que foram enviados para o Amazonas no período do Ministro Mandetta foram respiradores veterinários? O senhor está trazendo essa informação... "
"149","MARCELLUS JOSÉ BARROSO CAMPÊLO","","Não. Uma quantidade, se eu não me engano, de dez expiradores. Foram devolvidos por esse problema. "
"150","FERNANDO BEZERRA COELHO","(Bloco Parlamentar Unidos pelo Brasil/MDB - PE)","Mas quantos foram enviados? "
"151","MARCELLUS JOSÉ BARROSO CAMPÊLO","","Acho que 80 respiradores. "
"152","FERNANDO BEZERRA COELHO","(Bloco Parlamentar Unidos pelo Brasil/MDB - PE)","Oitenta respiradores. "
"153","MARCELLUS JOSÉ BARROSO CAMPÊLO","","Isso. "
"154","FERNANDO BEZERRA COELHO","(Bloco Parlamentar Unidos pelo Brasil/MDB - PE)","Dez tiveram problemas. "
"155","MARCELLUS JOSÉ BARROSO CAMPÊLO","","Sim. "
"156","PRESIDENTE","(Omar Aziz. PSD - AM. Fora do microfone.)","Dez eram para fora... Veterinária. "
"157","RENAN CALHEIROS","(Bloco Parlamentar Unidos pelo Brasil/MDB - AL)","Com quais representantes do Ministério da Saúde V. Sa. tratou pouco antes da crise do oxigênio em dezembro e início de janeiro? "
"158","MARCELLUS JOSÉ BARROSO CAMPÊLO","","Sobre o oxigênio, especificamente, eu fiz uma ligação ao Ministro Pazuello, no dia 7 de janeiro, por telefone, explicando a necessidade de apoio logístico para trazer oxigênio de Belém para Manaus, a pedido da White Martins. A partir daí, nós fizemos contato com o Comando Militar da Amazônia, por orientação do Ministro, para fazer esse trabalho logístico. Mandamos oficio ao Comando Militar da Amazônia. A partir do dia 9 de janeiro, enviamos um ofício... Enviamos diariamente ofício ao Ministério da Saúde, pedindo apoio em relação a essa questão da logística de oxigênio. "
"159","PRESIDENTE","(Omar Aziz. PSD - AM. Para interpelar.)","Qual foi a posição do Governo Federal, com o Ministro da Saúde, em relação a você mandando esses ofícios? Eles não respondiam esses ofícios? "
"160","MARCELLUS JOSÉ BARROSO CAMPÊLO","(Para depor.)","No dia 9 de janeiro, quando nós percebemos que haveria um atraso na chegada da primeira balsa prometida pela White Martins, nós enviamos o ofício. E existia uma agenda do Ministro Pazuello, em Manaus, a partir do dia 10 de janeiro. Então, no dia 10 foi relatada a situação dessa preocupação do apoio logístico. "
"161","PRESIDENTE","(Omar Aziz. PSD - AM)","Não, não, Secretário. Eu fiz uma pergunta muito objetiva. V. Exa. disse que mandou correspondência para o Ministério da Saúde. "
"162","ROGÉRIO CARVALHO","(Bloco Parlamentar da Resistência Democrática/PT - SE. Fora do microfone.)","No dia 7, não é? "
"163","PRESIDENTE","(Omar Aziz. PSD - AM)","Não, no dia 7 ele ligou... "
"164","HUMBERTO COSTA","(Bloco Parlamentar da Resistência Democrática/PT - PE. Fora do microfone.)","No dia 7 foi o telefonema. "
"165","PRESIDENTE","(Omar Aziz. PSD - AM)","... pelo telefone. Até porque tem aqui no site Amazonas Atual, que é um site lá do meu Estado: ""Secretário do Amazonas rebate Pazuello e diz que pediu ajuda ao ex-Ministro para trazer oxigênio"". Pazuello disse que não pediram ajuda. Por isso é que eu quero saber. E isto é um dos pontos dessa investigação da CPI: foi a falta de oxigênio. Qual foi o comportamento do Governo Federal no Estado do Amazonas em relação à prática deles? Você mandou correspondência. Porque a Pfizer mandou 83 correspondências, e eles não responderam nenhuma. Eu quero saber se eles responderam alguma correspondência do Estado do Amazonas em relação à falta de oxigênio. "
"166","MARCELLUS JOSÉ BARROSO CAMPÊLO","","Não tenho conhecimento se houve resposta. Acredito que não. "
"167","RENAN CALHEIROS","(Bloco Parlamentar Unidos pelo Brasil/MDB - AL)","Não tem conhecimento ou não houve resposta? "
"168","MARCELLUS JOSÉ BARROSO CAMPÊLO","","Não houve resposta, que eu saiba, Senador. "
"169","PRESIDENTE","(Omar Aziz. PSD - AM)","É uma prática, uma prática comum do... "
"170","RENAN CALHEIROS","(Bloco Parlamentar Unidos pelo Brasil/MDB - AL)","E com quais autoridades do ministério V. Sa. tratou? Os nomes, por favor. "
"171","MARCELLUS JOSÉ BARROSO CAMPÊLO","","A partir do dia 10, tratei diretamente com o Ministro Pazuello... "
"172","PRESIDENTE","(Omar Aziz. PSD - AM)","Não, a partir do dia 10, não. Você disse dia 7. "
"173","MARCELLUS JOSÉ BARROSO CAMPÊLO","","Dia 7, com o Ministro Pazuello. E depois mandamos ofício para o Comando Militar da Amazônia. Ponto. "
"174","RENAN CALHEIROS","(Bloco Parlamentar Unidos pelo Brasil/MDB - AL)","E por outro meio de comunicação? Telefone? "
"175","MARCELLUS JOSÉ BARROSO CAMPÊLO","","Por outro meio de comunicação... "
"176","RENAN CALHEIROS","(Bloco Parlamentar Unidos pelo Brasil/MDB - AL)","Não falou com ninguém? "
"177","MARCELLUS JOSÉ BARROSO CAMPÊLO","","Não. Por outro meio de comunicação, não, porque a programação da White Martins estava para o dia 9, sábado. Como não houve a confirmação, nós enviamos ofícios ao Ministério da Saúde, via Comitê de Crise, enviamos ofício no dia 9, no dia 11, no dia 12 e no dia 13...         "
"178","RENAN CALHEIROS","(Bloco Parlamentar Unidos pelo Brasil/MDB - AL)","Ao Ministro? "
"179","MARCELLUS JOSÉ BARROSO CAMPÊLO","","... ao Ministério da Saúde, pedindo apoio logístico. "
"180","RENAN CALHEIROS","(Bloco Parlamentar Unidos pelo Brasil/MDB - AL)","Ao Ministro? Ao ministério? "
"181","MARCELLUS JOSÉ BARROSO CAMPÊLO","","Ao Ministro. Ao Ministro. "
"182","RENAN CALHEIROS","(Bloco Parlamentar Unidos pelo Brasil/MDB - AL)","Ao Ministro. Quais foram as atividades desenvolvidas pelo Ministro junto à Secretaria de Estado? O que é que ele encaminhou em função da... Ele não respondeu, mas encaminhou alguma coisa? "
"183","MARCELLUS JOSÉ BARROSO CAMPÊLO","","Bom, no contato telefônico, ele pediu pra entrar em contato com o CMA dizendo que já havia uma pré-aprovação de um comando conjunto das Forças Armadas em relação a esse atendimento logístico. Isso foi feito. Nós mandamos o ofício no mesmo dia para o Comando Militar da Amazônia. Em relação a esse contato do dia 10, pessoal, porque o Ministro estava em Manaus, foi relatada a preocupação com a White Martins e aí o Ministro marcou uma reunião no dia seguinte com a White Martins para tratar desse assunto pessoalmente. Foi no dia 11, às 8h da manhã. O Ministro conversou com os representantes da White Martins, que explicaram a situação do problema, pediram o apoio logístico e, a partir daí, o Ministro designou o Coronel Moura para fazer as tratativas com a White Martins. "
"184","RANDOLFE RODRIGUES","(Bloco Parlamentar Senado Independente/REDE - AP. Para interpelar.)","Sr. Relator, se V. Exa. me permite... Dr. Sr. Marcelo, só para detalhar as datas. O Ministério da Saúde, o Ministro Eduardo Pazuello teve conhecimento do iminente colapso de oxigênio em que dia? "
"185","MARCELLUS JOSÉ BARROSO CAMPÊLO","(Para depor.)","Sobre apoio logístico, no dia 7, no dia 10. "
"186","FERNANDO BEZERRA COELHO","(Bloco Parlamentar Unidos pelo Brasil/MDB - PE)","Mas, desculpe... (Interrupção do som.) "
"187","FERNANDO BEZERRA COELHO","(Bloco Parlamentar Unidos pelo Brasil/MDB - PE)","... colapso de oxigênio. Vamos aqui ser precisos, porque o Secretário... "
"188","RANDOLFE RODRIGUES","(Bloco Parlamentar Senado Independente/REDE - AP)","É, exatamente. "
"189","FERNANDO BEZERRA COELHO","(Bloco Parlamentar Unidos pelo Brasil/MDB - PE)","... o Secretário afirma que havia o compromisso da White Martins de entregar uma carga de 52 mil metros cúbicos na segunda-feira. "
"190","MARCELLUS JOSÉ BARROSO CAMPÊLO","","Não, no sábado. "
"191","FERNANDO BEZERRA COELHO","(Bloco Parlamentar Unidos pelo Brasil/MDB - PE)","No sábado. Portanto, não havia colapso caracterizado, porque a White Martins ia entregar a carga. "
"192","MARCELLUS JOSÉ BARROSO CAMPÊLO","","Existia uma programação da White Martins para isso. "
"193","RANDOLFE RODRIGUES","(Bloco Parlamentar Senado Independente/REDE - AP)","Vamos deixar o... "
"194","FERNANDO BEZERRA COELHO","(Bloco Parlamentar Unidos pelo Brasil/MDB - PE)","Não, eu só estou querendo... "
"195","RANDOLFE RODRIGUES","(Bloco Parlamentar Senado Independente/REDE - AP)","... o depoente responder. "
"196","FERNANDO BEZERRA COELHO","(Bloco Parlamentar Unidos pelo Brasil/MDB - PE)","Não, não... "
"197","RANDOLFE RODRIGUES","(Bloco Parlamentar Senado Independente/REDE - AP)","Precisamente quando o Ministério da Saúde... "
"198","FERNANDO BEZERRA COELHO","(Bloco Parlamentar Unidos pelo Brasil/MDB - PE)","É não colocar palavra na boca do depoente. "
"199","RANDOLFE RODRIGUES","(Bloco Parlamentar Senado Independente/REDE - AP)","Não, não. Eu estou perguntando. (Intervenção fora do microfone.) "
"200","RANDOLFE RODRIGUES","(Bloco Parlamentar Senado Independente/REDE - AP)","Mas ele pronuncia as palavras dele da própria boca. Ele está pronunciando... "
"201","RENAN CALHEIROS","(Bloco Parlamentar Unidos pelo Brasil/MDB - AL)","Claro, claro. "
"202","RANDOLFE RODRIGUES","(Bloco Parlamentar Senado Independente/REDE - AP)","Então, vamos lá: quando que o Ministério da Saúde tem conhecimento? "
"203","MARCELLUS JOSÉ BARROSO CAMPÊLO","","Teve conhecimento sobre o pedido de logística no dia 7, no dia 10, no dia 11 com a própria White Martins pessoalmente, em reunião com o Ministro. E, a partir daí, os representantes do Ministério da Saúde, especificamente o Coronel Moura começou a tratar diretamente com a empresa essa logística. "
"204","RANDOLFE RODRIGUES","(Bloco Parlamentar Senado Independente/REDE - AP)","Perfeito. "
"205","MARCELLUS JOSÉ BARROSO CAMPÊLO","","É isso. "
"206","RANDOLFE RODRIGUES","(Bloco Parlamentar Senado Independente/REDE - AP)","A Dra. Mayra esteve lá entre os dias 3 e 5? "
"207","MARCELLUS JOSÉ BARROSO CAMPÊLO","","Isso, ela chegou dia 3, mas acho que não teve a agenda oficial; foi a partir do dia 4. "
"208","RANDOLFE RODRIGUES","(Bloco Parlamentar Senado Independente/REDE - AP)","Vocês comunicaram algo a respeito do problema de oxigênio pra ela? "
"209","MARCELLUS JOSÉ BARROSO CAMPÊLO","","Não, Senador, porque, nessa data, ainda não havia sinais desse tipo de necessidade. A empresa não sinalizava e o consumo de oxigênio estava na média... "
"210","EDUARDO BRAGA","(Bloco Parlamentar Unidos pelo Brasil/MDB - AM. Para interpelar.)","Em que data? Em que data você estava dizendo? Dia 3? "
"211","MARCELLUS JOSÉ BARROSO CAMPÊLO","(Para depor.)","Quatro. "
"212","EDUARDO BRAGA","(Bloco Parlamentar Unidos pelo Brasil/MDB - AM)","Dia 5? "
"213","MARCELLUS JOSÉ BARROSO CAMPÊLO","","Quatro, Senador. "
"214","RANDOLFE RODRIGUES","(Bloco Parlamentar Senado Independente/REDE - AP)","Perfeitamente. "
"215","RENAN CALHEIROS","(Bloco Parlamentar Unidos pelo Brasil/MDB - AL)","Ainda sobre essa questão de datas, tal: cronologicamente, que medidas de auxílio foram tomadas efetivamente pelo Ministério da Saúde? "
"216","MARCELLUS JOSÉ BARROSO CAMPÊLO","","Em relação ao oxigênio, Senador? Bom, a partir dessa data, foi entregue pela White Martins uma programação de necessidades e estabeleceram uma ponte aérea de entrega de oxigênio líquido de Guarulhos para Manaus, que seria feita diariamente com as cargas. Esses documentos são acessíveis. Uma programação da White Martins... "
"217","RENAN CALHEIROS","(Bloco Parlamentar Unidos pelo Brasil/MDB - AL)","A pergunta é: essas medidas da White Martins foram definidas por decisão do Governo? Do Governo Federal? Do Ministério da Saúde? "
"218","MARCELLUS JOSÉ BARROSO CAMPÊLO","","Isso, em reuniões entre representantes do Governo Federal e White Martins.         "
"219","RENAN CALHEIROS","(Bloco Parlamentar Unidos pelo Brasil/MDB - AL)","Tá. O Ministério da Saúde fomentou, sugeriu nas visitas in loco ou em outras tratativas o uso do chamado tratamento precoce como solução para o combate da crise no Estado? "
"220","MARCELLUS JOSÉ BARROSO CAMPÊLO","","A visita da Dra. Mayra, no dia 4, tinha um enfoque muito forte e firme sobre o tratamento... "
"221","RENAN CALHEIROS","(Bloco Parlamentar Unidos pelo Brasil/MDB - AL)","O senhor falou isso na.... O senhor falou isso na introdução. "
"222","MARCELLUS JOSÉ BARROSO CAMPÊLO","","... falando sobre tratamento precoce. Foi uma reunião gravada, uma reunião aberta, inclusive, à imprensa, onde ela falava isso e falava de um sistema chamado TrateCov a que, depois, nós teríamos acesso. "
"223","ROGÉRIO CARVALHO","(Bloco Parlamentar da Resistência Democrática/PT - SE)","Relator, eu estou com uma dúvida aqui... "
"224","RENAN CALHEIROS","(Bloco Parlamentar Unidos pelo Brasil/MDB - AL)","Por favor, pode dirimi-la. "
"225","ROGÉRIO CARVALHO","(Bloco Parlamentar da Resistência Democrática/PT - SE)","Porque ele disse que, no dia 7, não tinha, estava normal o consumo de oxigênio, e, no dia 14, o consumo era nove vezes maior. O que aconteceu para o consumo explodir nove vezes e as pessoas morrerem sufocadas? Porque eu não estou conseguindo entender – entendeu, Presidente? Não consigo entender o que é que aconteceu. Se estava tudo normal até o dia 9, o consumo era o mesmo, como é que, três dias depois, ele fica nove vezes maior? "
"226","PRESIDENTE","(Omar Aziz. PSD - AM)","Posso explicar aqui uma coisa, Senador, até porque eu estava lá em Manaus e acompanhei isso não de perto, não dentro, mas olhando. No dia 26 de dezembro, um dia após o Natal, o Governador fez um decreto de lockdown na cidade de Manaus – dia 26 de dezembro. Houve uma movimentação nacional, pessoas, inclusive lá de Manaus, muita gente de Manaus: ""Não, o pessoal tem que trabalhar, tem que ganhar dinheiro"", não sei o quê, pá, pá, pá, pá, uma série de coisas. Pessoas ligadas ao Presidente, infelizmente, o filho dele e Deputados Federais atacando o lockdown na cidade de Manaus. O Governador, equivocadamente, errando, recua no lockdown, pressionado pelas redes sociais. Pressionado por manifestações, e tal, recuou. No recuo, aí, há uma grande contaminação. Por quê? Porque você vinha de festa de Natal, teve Réveillon, uma série de coisa. Então, essa questão foi muito... Houve um crescimento. Mas ele está dizendo que em setembro já havia – veja bem, em setembro já havia – uma superprocura da classe A e B em hospitais particulares, quer dizer, foi a mesma primeira onda. Quando chega em Manaus, não chega... "
"227","EDUARDO BRAGA","(Bloco Parlamentar Unidos pelo Brasil/MDB - AM)","Presidente, me perdoe. Na realidade, o que o secretário não está relatando – Senador Rogério Carvalho, preste bem atenção – é: o contrato com a White Martins era de 250 mil metros cúbicos de oxigênio. Em julho, o fornecimento já estava em 413 mil metros cúbicos, já tinha praticamente dobrado – em julho! –, e a secretaria tem conhecimento disso. Em agosto, mais de 400 mil; em setembro, mais de 400 mil, 424 mil; e, aí, em outubro, 424 mil, mas, quando chega em novembro, já vai para 505 mil, vai para 582 mil. Esse crescimento não foi como está dito aqui: ""Ah, cresceu do dia 7 para o dia 9"". Não! Houve tempo, houve notificação. Agora, isso não isenta a questão que V. Exa. acabou de falar com relação ao lockdown, ao negacionismo – isso não isenta.         "
"228","PRESIDENTE","(Omar Aziz. PSD - AM)","Só isso... "
"229","EDUARDO BRAGA","(Bloco Parlamentar Unidos pelo Brasil/MDB - AM)","O que é fato é que havia um aumento gradual, firme e constante, em função do número de infectados. A secretaria, o Governo do Estado teve tempo suficiente pra poder agir e, enquanto isso, Senador Omar, em 24 horas em que ele ficava trocando ofício, Senador Humberto, 200 pessoas estavam morrendo em Manaus por falta de oxigênio por dia – por dia, por dia! Este é o fato que nós não podemos deixar de questionar: por que não houve providências? Desde julho estava claro o aumento exponencial do consumo de oxigênio na cidade de Manaus. "
"230","PRESIDENTE","(Omar Aziz. PSD - AM)","E foi isto que eu expliquei ao Senador Rogério Carvalho: que vem na crescente. Ele fala em setembro, que detecta em setembro, quer dizer, setembro já começa o crescimento da segunda onda... "
"231","EDUARDO BRAGA","(Bloco Parlamentar Unidos pelo Brasil/MDB - AM)","Mas em julho... "
"232","PRESIDENTE","(Omar Aziz. PSD - AM)","... que vai explodir em janeiro. "
"233","EDUARDO BRAGA","(Bloco Parlamentar Unidos pelo Brasil/MDB - AM)","... em julho, esse crescimento já estava... E mais: já há documentos que esta CPI tem da White Martins, da secretaria dizendo que em julho ela já estava preocupada com a explosão de consumo. Portanto, nós estamos falando de julho de 2020, e as pessoas morreram por falta de oxigênio a partir do dia 8, dia 9 de janeiro de 2021, seis meses pra providenciar o oxigênio. "
"234","RANDOLFE RODRIGUES","(Bloco Parlamentar Senado Independente/REDE - AP. Para interpelar.)","Sr. Presidente, sobre essa questão dos documentos do Marcellus, que eu acho que é no contexto do que foi perguntado, foi dito agora pelo Senador Eduardo Braga e na pergunta do Senador Rogério: o senhor recebeu esse documento da White Martins dia 7 de janeiro? "
"235","MARCELLUS JOSÉ BARROSO CAMPÊLO","(Para depor.)","Sim, senhor. Fui eu que pedi pra eles elaborarem. "
"236","RANDOLFE RODRIGUES","(Bloco Parlamentar Senado Independente/REDE - AP)","Perfeito. Aqui no documento está dizendo assim: ""Assim sendo, considerando a essencialidade do produto em destaque, servimos da presente para recomendar que a secretaria retifique e faça a aquisição de volumes adicionais ao contrato diretamente de um outro fornecedor que seja capaz de aumentar a disponibilidade do produto nas áreas críticas"". O que eu quero lhe perguntar objetivamente: o senhor comunicou isso ao Ministério da Saúde? Quando e a que horas o senhor comunicou ao Ministério da Saúde e a quem o senhor comunicou? "
"237","MARCELLUS JOSÉ BARROSO CAMPÊLO","","Esse ofício foi enviado em anexo eu acho que meia-noite e alguma coisa do dia 8. "
