"","nomes","cargo_funcao","fala"
"96","MARCELO ANTÔNIO CARTAXO QUEIROGA LOPES","","Não estou assegurando que não há risco. Estou dizendo que não existe risco adicional. "
"97","EDUARDO BRAGA","(Bloco Parlamentar Unidos pelo Brasil/MDB - AM)","Senador Renan, permita-me apenas fazer uma pergunta para contribuir... "
"98","RENAN CALHEIROS","(Bloco Parlamentar Unidos pelo Brasil/MDB - AL)","Por favor. "
"99","EDUARDO BRAGA","(Bloco Parlamentar Unidos pelo Brasil/MDB - AM. Para interpelar.)","Os clubes da Taça Libertadores estão vacinados? "
"100","MARCELO ANTÔNIO CARTAXO QUEIROGA LOPES","(Para depor.)","Não, não estão vacinados. Todos os clubes não estão vacinados. "
"101","EDUARDO BRAGA","(Bloco Parlamentar Unidos pelo Brasil/MDB - AM)","Qual é a população total envolvida na Taça Libertadores e na Copa das Américas? "
"102","MARCELO ANTÔNIO CARTAXO QUEIROGA LOPES","","Na Copa das Américas, aproximadamente, são 650 indivíduos envolvidos, entre jogadores e comissão técnica. Não é uma população grande. "
"103","HUMBERTO COSTA","(Bloco Parlamentar da Resistência Democrática/PT - PE)","Tem imprensa, tem imprensa... (Intervenção fora do microfone.) "
"104","HUMBERTO COSTA","(Bloco Parlamentar da Resistência Democrática/PT - PE)","Exatamente. (Intervenções fora do microfone.) "
"105","MARCELO ANTÔNIO CARTAXO QUEIROGA LOPES","","O Campeonato Brasileiro teve 102 jogos, finais de semana, jornalistas... Então, não há uma vedação, Senador... (Intervenção fora do microfone.) "
"106","MARCELO ANTÔNIO CARTAXO QUEIROGA LOPES","","Bom, o juízo de valor é de V. Exa., não é? "
"107","RENAN CALHEIROS","(Bloco Parlamentar Unidos pelo Brasil/MDB - AL. Como Relator.)","Não. Não é meu o juízo de valor. O juízo de valor é das pessoas que conhecem as circunstâncias. V. Exa. não sabia que mais de 2 mil jornalistas já pediram o credenciamento no Brasil. "
"108","MARCELO ANTÔNIO CARTAXO QUEIROGA LOPES","(Para depor.)","Os jornalistas... "
"109","RENAN CALHEIROS","(Bloco Parlamentar Unidos pelo Brasil/MDB - AL)","Estrangeiros. Estrangeiros. "
"110","MARCELO ANTÔNIO CARTAXO QUEIROGA LOPES","","... são obrigados a cumprir o mesmo protocolo, o mesmo protocolo. "
"111","PRESIDENTE","(Randolfe Rodrigues. Bloco Parlamentar Senado Independente/REDE - AP)","Sr. Ministro, só para o seu conhecimento, segundo informações, o Campeonato Brasileiro do ano passado teve 320 casos de Covid, entre atletas e técnicos. "
"112","MARCELO ANTÔNIO CARTAXO QUEIROGA LOPES","","Transmissão em campo, um caso, Senador Randolfe Rodrigues. "
"113","PRESIDENTE","(Randolfe Rodrigues. Bloco Parlamentar Senado Independente/REDE - AP. Para interpelar.)","Sim, mas quando eles saem do estádio eles não transmitem, não? "
"114","MARCELO ANTÔNIO CARTAXO QUEIROGA LOPES","(Para depor.)","Transmissão em campo. E as pessoas estão vivendo e elas podem adquirir a Covid-19. Aqui a gente está falando sobre a questão em campo, no campo de futebol. Eles vão ficar em bolha. Eles vão ficar no hotel. Saem e vão para o hotel. "
"115","RENAN CALHEIROS","(Bloco Parlamentar Unidos pelo Brasil/MDB - AL. Como Relator.)","V. Exa. contrariou o Ministro da Casa Civil, o Luiz Eduardo Ramos, e afirmou que não haverá exigência de vacinação dos atletas e das comissões técnicas dos países que irão disputar a competição. "
"116","MARCELO ANTÔNIO CARTAXO QUEIROGA LOPES","(Para depor.)","Eu não contrariei a informação do Ministro Ramos. O Ministro Ramos deu uma informação porque ele acreditava que todos os atletas estavam vacinados.         "
"117","RENAN CALHEIROS","(Bloco Parlamentar Unidos pelo Brasil/MDB - AL)","Então, qual é a posição definitiva? "
"118","MARCELO ANTÔNIO CARTAXO QUEIROGA LOPES","","A vacina não é obrigatória, Senador, porquanto os jogadores não estão todos vacinados. E essas competições acontecem sem a exigência de vacinas. Se a vacina fosse uma exigência, não poderia haver o campeonato. E os outros campeonatos... "
"119","RENAN CALHEIROS","(Bloco Parlamentar Unidos pelo Brasil/MDB - AL)","E o percentu... "
"120","MARCELO ANTÔNIO CARTAXO QUEIROGA LOPES","","Os outros campeonatos acontecem sem a exigência da vacinação. Essa é que é a questão. "
"121","RENAN CALHEIROS","(Bloco Parlamentar Unidos pelo Brasil/MDB - AL)","Os outros campeonatos não foram recusados pela Argentina nem pelo Chile. São situações diferentes. Não dá para compará-las. O percentual de pessoas vacinadas em relação à população do País poderia ser considerado como critério para a realização de um evento esportivo de grandes proporções no Brasil? "
"122","MARCELO ANTÔNIO CARTAXO QUEIROGA LOPES","","Esse evento não é um evento de grandes proporções. Esse é um evento pequeno. A Copa América é um evento pequeno, com um número pequeno de pessoas, e não é uma Olimpíada. Não é uma Olimpíada. Então, os protocolos que foram apresentados ao Ministério da Saúde são protocolos seguros, que permitem dizer que, se aquele protocolo for cumprido, não teremos riscos adicionais para os jogadores que participam dessa competição. Essa é a opinião do Ministério da Saúde neste momento. "
"123","RENAN CALHEIROS","(Bloco Parlamentar Unidos pelo Brasil/MDB - AL)","Por favor, o vídeo três. (Procede-se à exibição de vídeo.) "
"124","RENAN CALHEIROS","(Bloco Parlamentar Unidos pelo Brasil/MDB - AL)","... continua em silêncio sobre o distanciamento social e o uso de máscara? "
"125","MARCELO ANTÔNIO CARTAXO QUEIROGA LOPES","","A pasta não continua em silêncio, Excelência. Basta V. Exa. verificar que todos os ministérios têm uma propaganda a respeito de uso de máscaras. Se reclamava do Zé Gotinha; hoje nós temos um Zé Gotinha de máscara e uma família inteira de Zé Gotinhas de máscara. Trinta entrevistas coletivas realizadas, 4.512 demandas de imprensa atendidas, 756 matérias publicadas no portal do Ministério da Saúde; nas redes sociais, mais de 2 mil postagens com 770 milhões de impressões e mais de 21.320 interações. "
"126","RENAN CALHEIROS","(Bloco Parlamentar Unidos pelo Brasil/MDB - AL)","E por que o ministério continua sem ter uma estratégia clara de comunicação? "
"127","MARCELO ANTÔNIO CARTAXO QUEIROGA LOPES","","A estratégia está clara, não é? A estratégia está bem clara. Eu dou entrevista coletiva quase todos os dias! Eu falo com os jornalistas diariamente. "
"128","RENAN CALHEIROS","(Bloco Parlamentar Unidos pelo Brasil/MDB - AL)","Mas a entrevista não é comunicação. Entrevista é uma entrevista do Ministro. "
"129","MARCELO ANTÔNIO CARTAXO QUEIROGA LOPES","","Comunicação muito forte, Senador Renan Calheiros. E a sociedade brasileira sabe disso – sabe disso. Nós temos falado com a imprensa muito. Muito! "
"130","RENAN CALHEIROS","(Bloco Parlamentar Unidos pelo Brasil/MDB - AL)","Veja por exemplo, Ministro: matéria publicada pela agência pública aponta que o Governo Federal gastou 5 milhões com campanhas de vacinação, enquanto vídeos para retomar atividades custaram 30 milhões e, pelo atendimento precoce, receberam 19,9 milhões. Quais são, afinal, as prioridades de comunicação do Governo Federal? O que, no seu entendimento, como Ministro e como médico, justifica esses números? "
"131","MARCELO ANTÔNIO CARTAXO QUEIROGA LOPES","","Senador, só na nossa gestão, investimento de 66,5 milhões em campanhas – 66,5 milhões com campanhas. Todos sabem da nossa posição. Hoje mesmo, antes de vir para cá... "
"132","RENAN CALHEIROS","(Bloco Parlamentar Unidos pelo Brasil/MDB - AL)","E por que não... "
"133","MARCELO ANTÔNIO CARTAXO QUEIROGA LOPES","","... eu concedi uma entrevista à Globo, à Folha de S.Paulo, à UOL. Todos os veículos de comunicação, todos são testemunhas. "
"134","RENAN CALHEIROS","(Bloco Parlamentar Unidos pelo Brasil/MDB - AL)","Eu estou falando da publicidade, não estou falando... "
"135","MARCELO ANTÔNIO CARTAXO QUEIROGA LOPES","","A publicidade, foram gastos sessenta... Sessenta e seis vírgula cinco milhões... "
"136","RENAN CALHEIROS","(Bloco Parlamentar Unidos pelo Brasil/MDB - AL)","Não estou falando de suas entrevistas. A publicidade não contém medidas não farmacológicas... "
"137","MARCELO ANTÔNIO CARTAXO QUEIROGA LOPES","","Contém. "
"138","RENAN CALHEIROS","(Bloco Parlamentar Unidos pelo Brasil/MDB - AL)","Mas não contém. "
"139","MARCELO ANTÔNIO CARTAXO QUEIROGA LOPES","","Contém, Excelência. Basta V. Exa. verificar em todos os prédios da Esplanada dos Ministérios. Todos, sem exceção! Uso de máscara, a família do Zé Gotinha de máscara... Todos os brasileiros sabem disso, Senador Renan. V. Exa. me permita...         "
"140","RENAN CALHEIROS","(Bloco Parlamentar Unidos pelo Brasil/MDB - AL)","Infelizmente não sabem. "
"141","MARCELO ANTÔNIO CARTAXO QUEIROGA LOPES","","Felizmente sabem, Senador. "
"142","RENAN CALHEIROS","(Bloco Parlamentar Unidos pelo Brasil/MDB - AL)","Exibir o vídeo quatro, por favor. (Procede-se à exibição de vídeo.) "
"143","RENAN CALHEIROS","(Bloco Parlamentar Unidos pelo Brasil/MDB - AL)","As orientações aos Estados e Municípios, pergunto a V. Exa.: algum setor do Governo Federal tem se colocado contra a regulamentação do Ministério da Saúde para esse tipo de política, sempre criticada pelo Presidente da República? "
"144","MARCELO ANTÔNIO CARTAXO QUEIROGA LOPES","","Não, Senador. Essa afirmação que eu fiz aí eu já repeti aqui hoje e eu repito em todas as oportunidades. Eu sempre faço isso. Agora, é necessário que haja uma adesão das pessoas. Senador, como médico eu tenho mais de 33 anos de formado, e tem paciente, como cardiologista, que eu já orientei o sujeito a parar de fumar de maneira reiterada, e o camarada não deixa de fumar; ele morre fumando, e eu não abandono ele. Então, eu vou ficar insistindo até o final do meu período de gestão no Ministério da Saúde. Vou ficar insistindo. Insistirei acerca das medidas não farmacológicas, sem esquecer que a prioridade... "
"145","ROGÉRIO CARVALHO","(Bloco Parlamentar da Resistência Democrática/PT - SE. Para interpelar.)","O senhor tem feito isso com o Presidente, Ministro? O senhor tem feito isto com o Presidente: insistido para que ele cumpra as medidas não... "
"146","MARCELO ANTÔNIO CARTAXO QUEIROGA LOPES","(Para depor.)","Sempre que eu tenho... "
"147","ROGÉRIO CARVALHO","(Bloco Parlamentar da Resistência Democrática/PT - SE)","... não farmacológicas de isolamento? "
"148","MARCELO ANTÔNIO CARTAXO QUEIROGA LOPES","","Perfeitamente, Excelência. Perfeitamente. Certo? O compromisso é individual; o benefício é de todos. Reitero aqui perante os senhores. O médico tem obrigação de meios, não tem obrigação de resultados. E o meu meio é a minha voz e usarei. Isso não quer dizer que eu vou conseguir, Senador Renan. "
"149","RENAN CALHEIROS","(Bloco Parlamentar Unidos pelo Brasil/MDB - AL)","Ministro, especificamente... "
"150","MARCELO ANTÔNIO CARTAXO QUEIROGA LOPES","","Eu quero conseguir. Eu trabalharei para isso fortemente. E digo isso aqui aos senhores, olhando nos olhos de cada um, porque é o que eu faço. "
"151","RENAN CALHEIROS","(Bloco Parlamentar Unidos pelo Brasil/MDB - AL. Como Relator.)","Ministro, especificamente uma pergunta sobre o que foi colocado: esse tipo de regulamentação aventada por V. Exa. aqui na CPI é harmônica com a interpretação do Supremo Tribunal Federal de que medidas de controle da pandemia, o que inclui a gestão do Território, são competências concorrentes da União, Estados e Municípios? "
"152","MARCELO ANTÔNIO CARTAXO QUEIROGA LOPES","(Para depor.)","Eu concordo, Senador, com essa afirmação que V. Exa. faz. Essa questão do plano de mobilidade está em discussão no Ministério da Saúde; nós já discutimos isso com outros ministérios; precisa ser, naturalmente, finalizado, colocado em prática. Eu tenho, no Ministério da Saúde, adotado uma política de gradualismo e tenho adotado prioridades. Essa é a minha estratégia de gestão. "
"153","RENAN CALHEIROS","(Bloco Parlamentar Unidos pelo Brasil/MDB - AL)","Então, qual foi, Ministro, a sua participação na elaboração da ADI 6.855, que pediu a suspensão liminar das medidas de lockdown e de toque de recolher determinadas pelos Governadores dos Estados do Rio Grande do Norte, de Pernambuco e do Paraná?         "
"154","MARCELO ANTÔNIO CARTAXO QUEIROGA LOPES","","Isso é uma discussão jurídica que não compete ao Ministro da Saúde. "
"155","RENAN CALHEIROS","(Bloco Parlamentar Unidos pelo Brasil/MDB - AL)","O senhor não foi ouvido sobre isso? "
"156","MARCELO ANTÔNIO CARTAXO QUEIROGA LOPES","","Não, não fui ouvido sobre esse tema. Esse tema é um tema da esfera jurídica, que está sendo discutido no Supremo Tribunal Federal. Vamos esperar o posicionamento do Supremo Tribunal Federal acerca do tema, porque o Supremo é que vai definir essa questão de uma maneira terminativa. "
"157","RENAN CALHEIROS","(Bloco Parlamentar Unidos pelo Brasil/MDB - AL)","Então, fazendo a pergunta numa outra direção, sob um novo ângulo. Então, qual é o seu posicionamento sobre a iniciativa do Governo Federal no Supremo? "
"158","MARCELO ANTÔNIO CARTAXO QUEIROGA LOPES","","Eu sou Ministro da Saúde. Essa questão não é afeta ao Ministro da Saúde. "
"159","RENAN CALHEIROS","(Bloco Parlamentar Unidos pelo Brasil/MDB - AL)","Não afeta? "
"160","MARCELO ANTÔNIO CARTAXO QUEIROGA LOPES","","Discutir questões jurídicas, isso é com a Advocacia-Geral da União. "
"161","RENAN CALHEIROS","(Bloco Parlamentar Unidos pelo Brasil/MDB - AL)","Não é questão jurídica. "
"162","MARCELO ANTÔNIO CARTAXO QUEIROGA LOPES","","É jurídica, tanto é jurídica que está sendo discutida no Supremo Tribunal Federal. "
"163","RENAN CALHEIROS","(Bloco Parlamentar Unidos pelo Brasil/MDB - AL)","Não, não, não, não. Isso é medida não farmacológica de um Governo que não aceita a competência concorrente. "
"164","MARCELO ANTÔNIO CARTAXO QUEIROGA LOPES","","Acerca da medida, Senador... "
"165","RENAN CALHEIROS","(Bloco Parlamentar Unidos pelo Brasil/MDB - AL)","Não, não, o senhor... "
"166","MARCELO ANTÔNIO CARTAXO QUEIROGA LOPES","","Acerca da medida farmacológica, Senador Renan Calheiros... "
"167","RENAN CALHEIROS","(Bloco Parlamentar Unidos pelo Brasil/MDB - AL)","O senhor não ter oposição... O senhor não ter posição sobre isso... "
"168","MARCELO ANTÔNIO CARTAXO QUEIROGA LOPES","","Eu tenho posição e já externei aqui. "
"169","RENAN CALHEIROS","(Bloco Parlamentar Unidos pelo Brasil/MDB - AL)","Mas eu perguntei e o senhor acabou de dizer que não é Ministro da Justiça. "
"170","MARCELO ANTÔNIO CARTAXO QUEIROGA LOPES","","Acerca da medida farmacológica, eu já externei minha posição aqui de maneira clara, reiterada, transparente e cristalina. "
"171","RENAN CALHEIROS","(Bloco Parlamentar Unidos pelo Brasil/MDB - AL)","Então, o que o senhor pensa da ação que foi intentada pelo Governo contra os Estados? "
"172","MARCELO ANTÔNIO CARTAXO QUEIROGA LOPES","","A ação jurídica... "
"173","RENAN CALHEIROS","(Bloco Parlamentar Unidos pelo Brasil/MDB - AL)","Não, no que se refere à saúde, eu não estou perguntando do ponto de vista jurídico. "
"174","JORGINHO MELLO","(Bloco Parlamentar Vanguarda/PL - SC)","Ele não tem que pensar nada, Senador. Ele não tem que pensar nada, ele tem que responder. E, Ministro Queiroga, não fique aumentando a conversa. O senhor fica dando margem para o Senador falar aquilo que ele quer que o senhor fale, responda positivamente. "
"175","PRESIDENTE","(Randolfe Rodrigues. Bloco Parlamentar Senado Independente/REDE - AP. Fazendo soar a campainha.)","Senador Jorginho Mello... Senador Jorginho Mello... "
"176","RENAN CALHEIROS","(Bloco Parlamentar Unidos pelo Brasil/MDB - AL)","Senador Jorginho Mello, estou fazendo esse apelo... "
"177","PRESIDENTE","(Randolfe Rodrigues. Bloco Parlamentar Senado Independente/REDE - AP)","Vamos garantir a palavra ao Relator. "
"178","RENAN CALHEIROS","(Bloco Parlamentar Unidos pelo Brasil/MDB - AL)","... para que ele responda positivamente. Eu estou perguntando positivamente o que ele acha da medida... "
"179","MARCOS ROGÉRIO","(Bloco Parlamentar Vanguarda/DEM - RO)","O Ministro responde sobre fatos, não é comentarista de CPI. (Soa a campainha.) "
"180","PRESIDENTE","(Randolfe Rodrigues. Bloco Parlamentar Senado Independente/REDE - AP)","Srs. Senadores... Srs. Senadores, a palavra está com o Relator. Cada um dos colegas Senadores terá seu momento para fazer a indagação ao Sr. Ministro. Se os colegas quiserem, a gente suspende até garantir a palavra ao Relator, mas, neste momento, esta Presidência quer garantir a palavra ao Sr. Relator. "
"181","MARCOS ROGÉRIO","(Bloco Parlamentar Vanguarda/DEM - RO)","Essa Presidência, quando quer orientar ou acrescentar... O Senador Omar também, outros colegas que são contra fazem... "
"182","PRESIDENTE","(Randolfe Rodrigues. Bloco Parlamentar Senado Independente/REDE - AP)","É da competência desta Presidência. "
"183","MARCOS ROGÉRIO","(Bloco Parlamentar Vanguarda/DEM - RO)","Quando os demais... Quando os demais... "
"184","PRESIDENTE","(Randolfe Rodrigues. Bloco Parlamentar Senado Independente/REDE - AP. Fazendo soar a campainha.)","A palavra continua com o Sr. Relator. "
"185","MARCOS ROGÉRIO","(Bloco Parlamentar Vanguarda/DEM - RO)","Quando os demais... Quando os demais Senadores verificam... "
"186","PRESIDENTE","(Randolfe Rodrigues. Bloco Parlamentar Senado Independente/REDE - AP. Fazendo soar a campainha.)","A palavra continua com o Sr. Relator. "
"187","MARCOS ROGÉRIO","(Bloco Parlamentar Vanguarda/DEM - RO)","A palavra está com o Senador para questionar, não para comentar. "
"188","PRESIDENTE","(Randolfe Rodrigues. Bloco Parlamentar Senado Independente/REDE - AP. Fazendo soar a campainha.)","Não, a palavra está com o Relator. Tem Presidência aqui. "
"189","RENAN CALHEIROS","(Bloco Parlamentar Unidos pelo Brasil/MDB - AL)","A palavra está com o Relator, por favor. "
"190","PRESIDENTE","(Randolfe Rodrigues. Bloco Parlamentar Senado Independente/REDE - AP)","A palavra está com o Relator. "
"191","MARCOS ROGÉRIO","(Bloco Parlamentar Vanguarda/DEM - RO)","Para questionar, não para comentar. "
"192","PRESIDENTE","(Randolfe Rodrigues. Bloco Parlamentar Senado Independente/REDE - AP. Fazendo soar a campainha.)","Tem Presidência aqui. (Intervenção fora do microfone.) "
"193","ELIZIANE GAMA","(Bloco Parlamentar Senado Independente/CIDADANIA - MA)","Muito bem, Senador Randolfe. "
"194","PRESIDENTE","(Randolfe Rodrigues. Bloco Parlamentar Senado Independente/REDE - AP)","E o senhor se coloque no seu. "
"195","MARCOS ROGÉRIO","(Bloco Parlamentar Vanguarda/DEM - RO)","Tenho me colocado desde o início, Senador. Senador Renan, o papel do Presidente é controlar a sessão. "
"196","PRESIDENTE","(Randolfe Rodrigues. Bloco Parlamentar Senado Independente/REDE - AP)","Inclusive, controlar o senhor, que está interrompendo. "
"197","MARCOS ROGÉRIO","(Bloco Parlamentar Vanguarda/DEM - RO)","Está nervoso, Humberto? "
"198","MARCELO ANTÔNIO CARTAXO QUEIROGA LOPES","(Para depor.)","O Presidente da República, em uma oportunidade, conversou comigo sobre esse tema. E o que ele me falou é que ele era contra toque de recolher e de cerceamento da liberdade das pessoas, que ele diz que são garantias do art. 5º da Constituição Federal. Eu estou aqui sendo informado pela Advocacia-Geral da União que o que se discute, nessa ação no Supremo Tribunal Federal, é o instrumento que Governadores utilizam para disciplinar essa matéria. A AGU, pelo que foi me passado, defende que essa matéria tem que ser disciplinada em lei, não em decreto. Então, é essa a discussão que está no Supremo Tribunal Federal. Como autoridade sanitária que sou, em relação a essas medidas, é o que eu já externei aqui. As medidas não farmacológicas... Em cidades onde há colapso do sistema de saúde público, reitero para V. Exa., não resta outra alternativa de que fechamentos maiores.         Nós sabemos disso. E o que eu estou fazendo no Ministério da Saúde? Procurando criar um critério nacional para disciplinar essa matéria e tirar dos Municípios e do Estado... Às vezes, quando colocam a questão de uma maneira mais forte, há certa irresignação da sociedade, que fica prejudicada com o comércio fechado, com todas essas dificuldades que nós sabemos que há dentro do contexto de uma pandemia, que já se transformou em uma sindemia. Tem implicações econômicas, sociais. É um cenário difícil. No meu Estado, na Paraíba, Senador Renan, que é vizinho de V. Exa., há uma discussão entre o Estado e o Município. O Estado da Paraíba querendo uma posição mais rigorosa, e o Município de João Pessoa querendo uma posição mais flexível. É nesse sentido que aqui até me acosto ao que V. Exa. diz e defende. Eu acho que está certo que o Ministério da Saúde deva, sim, ter uma disciplina, porque administrativamente nós poderíamos solucionar várias dessas questões sem a necessidade da intervenção do Poder Judiciário, claro, preservando o direito de ir e vir das pessoas, que é uma garantia constitucional. Essa é a minha posição. Eu sempre trabalho para suscitar uma harmonização do contexto. Esse é o meu papel. O meu papel aqui, número 1: vacinar a população brasileira, vacinar a população brasileira. Isso é uma ideia... Eu não vou dizer que é obsessão, porque obsessão é coisa de paciente psiquiátrico, mas essa é uma ideia fixa que tenho. Trabalhar todos os dias... Eu trabalho todos os dias, Senador Renan – o senhor pode ter certeza disso... "
"199","RENAN CALHEIROS","(Bloco Parlamentar Unidos pelo Brasil/MDB - AL)","Não, eu não tenho dúvida sobre isso. "
"200","MARCELO ANTÔNIO CARTAXO QUEIROGA LOPES","","... para conseguir vacinar a população do Brasil. "
"201","RENAN CALHEIROS","(Bloco Parlamentar Unidos pelo Brasil/MDB - AL)","Eu não tenho dúvida disso, Ministro. "
"202","MARCELO ANTÔNIO CARTAXO QUEIROGA LOPES","","Soube da variante delta no Estado do Maranhão numa quinta-feira. Liguei para o Senador, para o meu colega Secretário Carlos Lula, Secretário de Saúde do Maranhão, externei a minha preocupação, num dia de... sábado, ou foi domingo? (Intervenção fora do microfone.) "
"203","MARCELO ANTÔNIO CARTAXO QUEIROGA LOPES","","Num domingo fui a São Luís, levei 600 mil testes rápidos e mais 300 mil doses de vacina, na tentativa de conter uma progressão comunitária dessa variante chamada variante delta. Então, é uma preocupação diuturna, Senador. "
"204","RENAN CALHEIROS","(Bloco Parlamentar Unidos pelo Brasil/MDB - AL)","Eu fiz uma pergunta evidentemente específica, pontual. Perguntei primeiro se o senhor tinha sido consultado sobre a ADI... "
"205","MARCELO ANTÔNIO CARTAXO QUEIROGA LOPES","","Sobre o decreto, não. "
"206","RENAN CALHEIROS","(Bloco Parlamentar Unidos pelo Brasil/MDB - AL)","Sobre a ADI tentada junto ao Supremo... "
"207","MARCELO ANTÔNIO CARTAXO QUEIROGA LOPES","","Sobre essa ADI, não. "
"208","RENAN CALHEIROS","(Bloco Parlamentar Unidos pelo Brasil/MDB - AL)","Do ponto de vista da saúde pública do Brasil, ... "
"209","MARCELO ANTÔNIO CARTAXO QUEIROGA LOPES","","Não, sobre a ADI não fui consultado... "
"210","RENAN CALHEIROS","(Bloco Parlamentar Unidos pelo Brasil/MDB - AL)","... que o senhor representa, o que é que o senhor acha... "
"211","MARCELO ANTÔNIO CARTAXO QUEIROGA LOPES","","Respondendo ... "
"212","RENAN CALHEIROS","(Bloco Parlamentar Unidos pelo Brasil/MDB - AL)","... da iniciativa do Presidente da República? "
"213","MARCELO ANTÔNIO CARTAXO QUEIROGA LOPES","","Respondendo objetivamente a V. Exa., sobre a ADI, não. O Presidente... "
"214","RENAN CALHEIROS","(Bloco Parlamentar Unidos pelo Brasil/MDB - AL)","Não o quê? "
"215","MARCELO ANTÔNIO CARTAXO QUEIROGA LOPES","","Não fui consultado pelo Presidente. Sobre a questão do ponto de vista da liberdade... "
"216","RENAN CALHEIROS","(Bloco Parlamentar Unidos pelo Brasil/MDB - AL)","O senhor acha correta como política pública de saúde para o enfrentamento da Covid? "
"217","MARCELO ANTÔNIO CARTAXO QUEIROGA LOPES","","Excelência, eu não... Não é minha função falar sobre ADI, certo? Isso aí é da Advocacia-Geral da União. "
"218","RENAN CALHEIROS","(Bloco Parlamentar Unidos pelo Brasil/MDB - AL)","Não é sobre a ADI, não! É sobre a saúde pública. "
"219","MARCELO ANTÔNIO CARTAXO QUEIROGA LOPES","","A posição de saúde pública eu já externei aqui claramente para os senhores, já externei claramente para os senhores. "
"220","RENAN CALHEIROS","(Bloco Parlamentar Unidos pelo Brasil/MDB - AL)","Neste momento, Ministro... "
"221","MARCELO ANTÔNIO CARTAXO QUEIROGA LOPES","","Eu sou o quarto Ministro da Saúde durante a pandemia, e nós precisamos ter sucesso na minha função. Isso é algo que é bom para o Brasil, Senador Renan Calheiros. "
"222","RENAN CALHEIROS","(Bloco Parlamentar Unidos pelo Brasil/MDB - AL)","Então, por favor, neste momento... "
"223","MARCELO ANTÔNIO CARTAXO QUEIROGA LOPES","","É bom para o Brasil. V. Exa. é um dos Parlamentares mais experientes do Congresso Nacional, e nós somos muito reconhecidos pela sua função institucional. Então, eu entendo que tenhamos aqui o mesmo objetivo: de vencer esta pandemia, não é? "
"224","RENAN CALHEIROS","(Bloco Parlamentar Unidos pelo Brasil/MDB - AL)","Não, mas essa minha colocação eu faço... "
"225","MARCELO ANTÔNIO CARTAXO QUEIROGA LOPES","","Eu já respondi a V. Exa. de maneira objetiva. "
"226","RENAN CALHEIROS","(Bloco Parlamentar Unidos pelo Brasil/MDB - AL)","... em defesa do fortalecimento do seu papel como Ministro. "
"227","MARCELO ANTÔNIO CARTAXO QUEIROGA LOPES","","Eu sei disso, Senador. Eu sei disso.         "
"228","RENAN CALHEIROS","(Bloco Parlamentar Unidos pelo Brasil/MDB - AL)","Porque, se por acaso eu fosse – ou qualquer outro aqui fosse – Ministro da Saúde, no enfrentamento a uma pandemia com mais de 474 mil mortes, e o Presidente da República intentasse numa competência concorrente contra Estados, eu diria alguma coisa: se isso ajuda na direção das políticas públicas que estão sendo levadas a efeito, se não ajuda; o que é que o Presidente deveria fazer?; por que continua a fazer isso? Eu vou fazer uma pergunta específica novamente. Nesse momento em que vários especialistas já alertaram para a terceira onda da Covid-19 no País, o Ministério da Saúde vai recomendar – específica novamente –, quando considerar importante, a adoção de medidas restritivas aos entes nacionais para prevenir maior disseminação do novo coronavírus? "
"229","MARCELO ANTÔNIO CARTAXO QUEIROGA LOPES","","O Ministério da Saúde sempre fará as recomendações sanitárias mais adequadas para o controle da pandemia, como tem feito. Na nossa gestão, temos feito isso. A mais eficiente, Senador, é a vacina. É a mais eficiente. "
"230","RENAN CALHEIROS","(Bloco Parlamentar Unidos pelo Brasil/MDB - AL)","Nós nunca tivemos dúvidas sobre isso... "
"231","MARCELO ANTÔNIO CARTAXO QUEIROGA LOPES","","Então, estamos absolutamente de acordo. "
"232","RENAN CALHEIROS","(Bloco Parlamentar Unidos pelo Brasil/MDB - AL)","... até já defendemos com a antecipação que o Presidente da República... "
"233","MARCELO ANTÔNIO CARTAXO QUEIROGA LOPES","","Ontem mesmo... "
"234","RENAN CALHEIROS","(Bloco Parlamentar Unidos pelo Brasil/MDB - AL)","... não a defendeu. "
"235","MARCELO ANTÔNIO CARTAXO QUEIROGA LOPES","","Ontem mesmo, Senador Renan, eu conversei com o Governador Wellington Dias, do Piauí, em face da aprovação, uma aprovação muito condicionada pela Anvisa, da vacina Sputnik V, para que, juntos, possamos construir, Senador Humberto Costa, um protocolo para aferir a efetividade dessa vacina e ela ser disponibilizada num volume maior, porque, assim, vamos conseguir acelerar a campanha de vacinação. "
"236","RENAN CALHEIROS","(Bloco Parlamentar Unidos pelo Brasil/MDB - AL)","Então, o ministério vai recomendar, retomando a pergunta. "
"237","MARCELO ANTÔNIO CARTAXO QUEIROGA LOPES","","O Ministério da Saúde vai tomar todas as medidas que forem necessárias para mitigar essa pandemia. A mais eficiente delas, a vacinação, é 80%, vacinar a população brasileira. Nós já temos os resultados: redução de mortes dos idosos. Vamos fazer isso. E eu tenho feito isso. E eu sei que V. Exa. sabe que eu tenho feito. "
"238","RENAN CALHEIROS","(Bloco Parlamentar Unidos pelo Brasil/MDB - AL)","É. Isso pode ser feito com antecedência para evitar providências mais duras posteriormente como o lockdown? "
"239","MARCELO ANTÔNIO CARTAXO QUEIROGA LOPES","","Esse é o objetivo, é tomar essas medidas... "
"240","RENAN CALHEIROS","(Bloco Parlamentar Unidos pelo Brasil/MDB - AL)","Por favor, o vídeo 5. "
"241","MARCELO ANTÔNIO CARTAXO QUEIROGA LOPES","","... de forma antecipada. (Procede-se à exibição de vídeo.) "
